,a,b,a_count,b_count,ab_count,pmi
52110,lime,mango,1000,352,42,2.572591368007865
50469,banana,melon,1280,164,25,2.5707022444350707
34374,feta_cheese,watermelon,659,102,8,2.5700533981977887
41978,orange,orange_peel,1630,562,109,2.5698189428393756
40156,celery_oil,lima_bean,1064,158,20,2.5696547749301657
30195,lime_peel_oil,orange_peel,105,562,7,2.56675615330883
40839,cucumber,mustard,1597,4012,759,2.5653826844035224
53293,oat,whole_grain_wheat_flour,1593,981,185,2.564717259907644
42013,fennel,saffron,866,127,13,2.5631855667452412
15818,gelatin,pineapple,1689,1886,376,2.561791967693423
44802,bean,kale,2204,100,26,2.561205386065317
70,soy_sauce,soybean,1794,452,95,2.5542998734542994
2583,lemon_juice,roasted_sesame_seed,5021,119,70,2.554295557207855
24832,blueberry,watermelon,670,102,8,2.553499220315284
26069,coriander,mussel,1129,53,7,2.5528388756582605
924,melon,strawberry,164,1251,24,2.552797096361567
44438,cabbage,turnip,887,174,18,2.5497796806767874
22189,banana,mandarin,1280,335,50,2.5495853209941477
36223,chickpea,lentil,417,247,12,2.548740295665953
10302,okra,tabasco_pepper,98,1229,14,2.546441945683383
21891,currant,raisin,206,2005,48,2.5462337066823713
27387,cacao,cocoa,37,4420,19,2.5459342957552034
50836,cottage_cheese,mozzarella_cheese,548,1935,123,2.544354667265251
40864,smoke,wheat_bread,455,114,6,2.5415718061873402
38,pork,rutabaga,1731,40,8,2.5404157366944218
34336,crab,horseradish,618,464,33,2.5364427560872653
18852,artichoke,lovage,414,168,8,2.5359197927559936
30972,cereal,rye_flour,296,147,5,2.534954075636035
13444,barley,carrot,257,3558,105,2.5342386013412543
28617,green_bell_pepper,okra,3290,98,37,2.533615794518966
